alumno,curso,contenido,nota_numerica,evaluacion
10742238,3306170617,1708061,7,01
10865703,3306170617,1374,4,01
10282118,3306170617,1374,10,01
10666170,3306170617,1374,7,01
10687463,3306170617,1374,8,01
10122344,3306170617,1373,10,01
10842025,3306170617,1373,8,01
10786004,3306170617,1371,4,01
13242092,3306170617,1371,8,01
13273466,3306170617,CVOPT,8,01
10776515,3306170617,1375s,5,01
11104411,3306170617,1375s,5,01
10652580,3306170617,1375s,5,01
10798915,3306170617,1375s,5,01
10515381,3306170617,1375s,5,01
10687463,3306170617,1665061,9,01
13462544,3306170617,1708061,7,01
11671982,3306173995,0442,7,01
11004486,3306173995,0442,10,01
10960990,3306173995,0442,9,01
11039273,3306173995,0442,8,01
11666166,3306173995,0442,7,01
10911748,3306173995,1708001,9,01
10787257,3306173995,CVOPT,7,01
11027361,3306173995,CVOPT,8,01
10929818,3306173995,CVOPT,10,01
10960990,3306173995,0443,7,01
11043785,3306173995,0443,5,01
10835299,3306173995,0448,3,01
10787655,3306173995,0448,3,01
11027361,3306173995,1664001,10,01
10787655,3306173995,1664001,8,01
10819061,3306174046,0654,9,01
10802285,3306174046,0657s,8,01
10024578,3306174046,0657s,6,01
10802285,3306174046,1710,7,01
10679709,3306174046,1710,6,01
10824617,3306174046,0652,4,01
10931235,3306172060,1234,4,01
10904203,3306172060,1234,9,01
10924853,3306172060,1228,6,01
10924853,3306172060,1235,8,01
10787502,3306172060,1230,8,01
12465550,3306172060,1230,4,01
10899896,3306172060,1713925,7,01
11024352,3306172060,1713925,7,01
10904203,3306172060,1227,9,01
13291541,3306172060,1708020,9,01
10766452,3306172133,1708020,7,01
11790917,3306172133,1708020,6,01
11790917,3306172133,0825,8,01
10734184,3306172133,0825,6,01
10711954,3306172133,0828s,6,01
10711954,3306172133,0827,6,01
10487336,3306172133,0824,7,01
10847609,3306172133,1665020,3,01
10800028,3306172165,1009,8,01
13456007,3306172165,1110,8,01
10805294,3306172165,1009,7,01
10808311,3306172410,1708039,8,01
10761594,3306172410,1708039,8,01
13285325,3306170521,028100,0,01
11019862,3306170521,028505,3,01
13323096,3306170521,028100,7,01
10964248,3306170521,028504,0,01
10407199,3306170521,028504,6,01
13129964,3306170521,028503,4,01
11110518,3306170521,028504,6,01
11106423,3306170521,028100,8,01
11026033,3306170521,028100,10,01
13598449,3306170521,028501,5,01
10938612,3306170521,028501,6,01
10897940,3306170521,028505,3,01
10897940,3306170521,028501,2,01
13289086,3306170521,028505,4,01
13074463,3306170521,028505,0,01
11017524,3306170521,028001,8,01
12051056,3306170521,028504,7,01
12051056,3306170521,028501,8,01
11899562,3306170521,028501,3,01
10803834,3306170521,028505,3,01
10805472,3306170521,028504,5,01
13446969,3306170521,028502,9,01
13506891,3306170521,028501,10,01
12587578,3306170521,028503,7,01
10730519,3306170619,1370,4,01
10740566,3306170619,1368,4,01
10889150,3306170619,1370,8,01
10916495,3306170619,1375p,10,01
10916495,3306170619,1367,8,01
10834105,3306170619,1368,8,01
10786265,3306170619,1370,4,01
10918418,3306170619,1375p,10,01
10515804,3306170619,0179,10,01
10928805,3306170619,0179,8,01
10677457,3306170619,0179,8,01
