id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
10208350,b05402c00e19dbdb5dbbe475848d7dcdfe2be5768a3b174611f6048307cb25bf,27/09/2000,M,B,3003826541,1CFSN,S
10663493,843323d4cf2cf83d2ecd8edffd5db39e25aa5121e8f4b58bd7ec47791b2f4f8b,27/12/1991,M,M,3003828788,2CFSH,D
12730900,afc4cb74a8c5c75b991ea3b053fe939da71fc99224c2353a907332aeffb4f8b9,15/06/1995,M,M,3003826541,1CFSN,S
10866566,8a10a7d1a3220ddfcd4566857ea068beda1d33ed22f0f83915415a08fb9abdf0,07/07/2006,M,M,3003829510,1CFME,D
10500664,f95cd5978b5f9b3db6b2bd3f0b04e06d69bcb2110a1b4ca0c1b438414143332e,05/06/1993,M,B,3003828760,1CFMD,S
10324085,3e1f92849f8ea5a2b1d5978f2a8db86ec689dbb6d16e9fbf977ca1e001fa5311,07/07/1994,H,B,3003828795,1CFSL,S
12736124,b77b22972cde5e7143f0d08bae93355350e62b291ac2ad21adafb89ce4e7864f,28/03/2002,M,M,3003828795,1CFSH,D
13256847,badcf3d33d03ef1bdf926b49b8dc94a51edd673ce6356ad4e51513f03b6ed01c,18/09/1987,H,M,3003829629,1CFSF,D
13250485,ad01a790a720c22311a7e048b28d798a9fcd0834569f4fd44566b048d7d2413f,10/02/1992,M,B,3003828795,1CFSL,S
12558196,f031db7486c14d1858013dec4885e6010e8643b66b8b101f3ad1c2b5e76f2fc6,20/08/1966,M,M,3003828795,1CFSL,S
10865901,b1f176bdff21da0791ce689df6a0196f252e89877b4f0ccf67673ffc59684adb,20/09/1987,M,M,3003828823,2CFSN,S
12739203,431a69b1e86bd5df53b86982f047feb294cefa2bee6c0bd2dcd1e414b1715e7b,06/04/2002,M,M,3003829629,1CFSF,D
13246215,f3479afbcfd59d7d0208c218b1e6c080eaf010c27fa9cc2a6134178fa08061c4,21/06/2004,H,M,3003827324,1CFSA,D
13332666,ea5e8e7f9fe26de6d8875423202aeb99cf60fdda656475ca69471146d996b68f,17/09/2001,H,M,3003826625,1CFSE,D
12734604,299432d8d50291204591413a740fd3a43649c13dc0d65ab3ff1cf05fb97822de,07/06/2001,H,M,3003828691,1CESCIB,D
13274066,ee19e45fa014010b38974bceaf11e991f30708c09f00b84dbbfc5bd35e008859,01/07/1988,M,M,3003829510,1CFMI,S
11398648,bb4e5cf198620a6ff477feda6fafbef781238fdbef6f5ddbf683df317f19a170,26/01/1982,M,M,3003822456,2CFSO,S
13242365,a6010db162ce4370c9c2a1a22391dd752bf7e140a4043dcdbb62cb0a1227888f,06/04/1982,M,B,3003828795,1CFSL,S
11055595,24c3c1adb1ff7008cd0faad5b22122e099ac943a1dd8826f70fff9a333d11ce6,18/03/1975,H,M,3003829510,1CFMI,S
12584277,0a437dee52c05d165b04808d34b0e8e4f9c2836d7765a2041ab71b5cc04ba6a4,11/01/1998,M,M,3003827324,1CFSM,S
11402080,18da4766adcf3f33edd9efa411ec9524d5be70c33a080d3cfc0a058ef3edc20f,01/10/1998,M,M,3003826548,2CFSJ,D
12116573,8bc7e8e7d81fe6ac713a34f5504e42459bb77f51a1f2c5d2ef123796a48f89f9,07/12/1967,M,M,3003827233,1CFMG,S
13245350,3e6c525f19920aa363028d69816cda3d820d379e02de01bf4095c9f8f35e53a3,03/04/1990,H,M,3003828795,1CFSL,S
10174423,a20deaa171d7517da5665a5e16814b54ae90d12a77c16f02bdc361101cc3d731,01/02/1995,M,M,3003829636,2CFSF,D
