anyo,codigo,nombre_cas,curso
2025_26,TU01CF,Tutoría Primero,3306169695
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306169695
2025_26,0373,Lenguajes de marcas y sistemas de gestión de información,3306169695
2025_26,0487,Entornos de desarrollo,3306169695
2025_26,0485,Programación,3306169695
2025_26,0484,Bases de Datos,3306169695
2025_26,0483,Sistemas informáticos,3306169695
2025_26,0493,Formación y orientación laboral,3306169695
2025_26,TU02CF,Tutoría Segundo,3306169702
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306169702
2025_26,0495,Formación en centros de trabajo,3306169702
2025_26,0492,Proyecto de Desarrollo de aplicaciones multiplataforma,3306169702
2025_26,0494,Empresa e iniciativa emprendedora,3306169702
2025_26,0491,Sistemas de gestión empresarial,3306169702
2025_26,0490,Programación de servicios y procesos,3306169702
2025_26,0489,Programación multimedia y dispositivos móviles,3306169702
2025_26,0488,Desarrollo de interfaces,3306169702
2025_26,0486,Acceso a datos,3306169702
2025_26,TU01CF,Tutoría Primero,3306169723
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306169723
2025_26,0370,Planificación y Administración de Redes,3306169723
2025_26,0373,Lenguajes de marcas y sistemas de gestión de información,3306169723
2025_26,0371,Fundamentos de Hardware,3306169723
2025_26,0372,Gestión de Bases de Datos,3306169723
2025_26,0380,Formación y orientación laboral,3306169723
2025_26,0369,Implantación de Sistemas Operativos,3306169723
2025_26,TU02CF,Tutoría Segundo,3306169730
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306169730
2025_26,0381,Empresa e Iniciativa emprendedora,3306169730
2025_26,0379,Proyecto de Administración de Sistemas Informáticos en Red,3306169730
2025_26,0378,Seguridad y Alta Disponibilidad,3306169730
2025_26,0375,Servicios de Red e Internet,3306169730
2025_26,0382,Formación en Centros de Trabajo,3306169730
2025_26,0377,Administración de Sistemas Gestores de Bases de Datos,3306169730
2025_26,0376,Implantación de Aplicaciones Web,3306169730
2025_26,0374,Administración de Sistemas Operativos,3306169730
2025_26,1709,Itinerario personal para la empleabilidad I,3306169744
2025_26,0379p,Proyecto intermodular 1 de Administración de Sistemas Informáticos en Red,3306169744
2025_26,TU01CF,Tutoría Primero,3306169744
2025_26,0179,Inglés profesional GS,3306169744
2025_26,0370,Planificación y Administración de Redes,3306169744
2025_26,0373,Lenguajes de marcas y sistemas de gestión de información,3306169744
2025_26,0371,Fundamentos de Hardware,3306169744
2025_26,0372,Gestión de Bases de Datos,3306169744
2025_26,0369,Implantación de Sistemas Operativos,3306169744
2025_26,1665190,Digitalización aplicada al sistema productivo GS,3306169751
2025_26,1708190,Sostenibilidad aplicada al sistema productivo,3306169751
2025_26,CVOPT,Módulo optativo,3306169751
2025_26,0379s,Proyecto intermodular 2 de Administración de Sistemas Informáticos en Red,3306169751
2025_26,TU02CF,Tutoría Segundo,3306169751
2025_26,0378,Seguridad y Alta Disponibilidad,3306169751
2025_26,0375,Servicios de Red e Internet,3306169751
2025_26,0377,Administración de Sistemas Gestores de Bases de Datos,3306169751
2025_26,0376,Implantación de Aplicaciones Web,3306169751
2025_26,0374,Administración de Sistemas Operativos,3306169751
2025_26,1710,Itinerario personal para la empleabilidad II,3306169751
2025_26,1713472,Proyecto Intermodular Gestión administrativa,3306173995
2025_26,CVOPT,Módulo optativo,3306173995
2025_26,1664001,Digitalización aplicada al sistema productivo GM,3306173995
2025_26,1708001,Sostenibilidad aplicada al sistema productivo,3306173995
2025_26,TU02CF,Tutoría Segundo,3306173995
2025_26,0446,Empresa en el aula,3306173995
2025_26,0443,Tratamiento de la documentación contable,3306173995
2025_26,0442,Operaciones administrativas de recursos humanos,3306173995
2025_26,0448,Operaciones auxiliares de gestión de tesorería,3306173995
2025_26,1710,Itinerario personal para la empleabilidad II,3306173995
2025_26,1709,Itinerario personal para la empleabilidad I,3306173997
2025_26,TU01CF,Tutoría Primero,3306173997
2025_26,0437,Comunicación empresarial y atención al cliente,3306173997
2025_26,0441,Técnica contable,3306173997
2025_26,0439,Empresa y administración,3306173997
2025_26,0438,Operaciones administrativa de compra-venta,3306173997
2025_26,0440,Tratamiento informático de la información,3306173997
2025_26,0156,Inglés profesional GM,3306173997
2025_26,TU01CF,Tutoría Primero,3306174011
2025_26,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3306174011
2025_26,0437,Comunicación empresarial y atención al cliente,3306174011
2025_26,0449,Formación y orientación laboral,3306174011
2025_26,0441,Técnica contable,3306174011
2025_26,0439,Empresa y administración,3306174011
2025_26,0438,Operaciones administrativa de compra-venta,3306174011
2025_26,0440,Tratamiento informático de la información,3306174011
2025_26,0156,Inglés profesional GM,3306174011
2025_26,TU02CF,Tutoría Segundo,3306174018
2025_26,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3306174018
2025_26,0446,Empresa en el aula,3306174018
2025_26,0443,Tratamiento de la documentación contable,3306174018
2025_26,0442,Operaciones administrativas de recursos humanos,3306174018
2025_26,0451,Formación en centros de trabajo,3306174018
2025_26,0448,Operaciones auxiliares de gestión de tesorería,3306174018
