id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
12380827,e1f671c31a00d3c4a27f576f72c8c6313dceda0d9351298d7aadbc71d8a5a992,25/04/1989,M,M,3306174018,2CFMD,S
10805078,e98f5142c5a569c5598dad251e588285681afeaa38f6254a842d0f0da1be1ec8,07/01/2006,H,B,3306169723, ,D
10805078,e98f5142c5a569c5598dad251e588285681afeaa38f6254a842d0f0da1be1ec8,07/01/2006,H,M,3306169744,1CFS_ASIR,D
13598683,b15d2328df2c3d42f2f9331c4b6305b26798471fd1a2f602708cdf5daea90fd2,09/03/2007,H,B,3306172167,1CFS_MPS,S
12735228,d9d24b0c6df41e7ccba0eb26617322015999d06a0ee7530bb7614da04b194bb9,18/06/1986,H,B,3306169635, ,S
13243465,72314b1fc78d97db44198a22b1b6c0030faa263c66e6131dc1578f4e518b1b5d,21/02/1989,M,M,3306169635,2CFS_DAMS,S
11891674,9175592091707a21b261c314b6dae03369fa586b673d297195473440da87d73b,12/06/1984,H,M,3306169635,2CFS_DAMS,S
12735228,d9d24b0c6df41e7ccba0eb26617322015999d06a0ee7530bb7614da04b194bb9,18/06/1986,H,B,3306169702,2CFSR,S
11891674,9175592091707a21b261c314b6dae03369fa586b673d297195473440da87d73b,12/06/1984,H,B,3306169702,2CFSR,S
11519407,8d641bc5ad1791a9494d955c7eb4b0fba957b3baf4789cd8e79ad367144611a8,14/09/1971,M,M,3306170521,1CFM_CAES,S
13596973,7d9c204a92c79af3247d87815e384147d1182ffe9bb7a33dd388cc6eb94dd54f,04/02/2007,M,M,3306174048,1CFS_AFS,S
13246193,18b1d0c20b865b102a9d3cbcb8716962bf8c46b9233c5b900fcca5af99892077,24/07/1973,M,M,3306170521,1CFM_CAES,S
10772056,78ff1050f16784b8d41539d9797d94d32ae7b3499fb5fb9615bc3efedb7a0eae,22/12/2005,M,M,3306169440,2CFSG,D
13162439,ed36b9939fdf57ce6eb660030b0e623ec5cc10ed341b4e30f6f68f9c4218c5c5,09/05/1981,M,M,3306170521,1CFM_CAES,S
10832166,2d6ebbb0771e667303d428dda232684c19e9feb8c8ecb41dba231aa3d1d28d29,29/10/2005,M,M,3306169651,1CFS_DAW,D
11407222,b59f6c50e54bf2590e82adfa30e9dc75ecb7254f677d98c8f8099a37023f74a1,29/07/1988,H,M,3306169593,1CFM_SMRS,S
10323484,088fbbfdbfaef14f1a2674563bb98746f49271b827f9c3c31b4f89a7e9a3db87,20/09/1997,H,M,3306169651,1CFS_DAWS,S
13542655,d51e3b43174bf0113fa9733702bc18bbffeacd3ff2c8c63789ee8b4a1da81526,25/09/1978,H,M,3306174048,1CFS_AFS,S
11627062,3fbfa54f5777b67b6df60d3f7d46dab0b08a96501ff4ae0aa390b95ccbeae10b,08/03/2006,M,M,3306172330,2CFS_AVGE,D
11095070,e14aded8441708413379cbba0971b291570cf093433608af8a98239620460ddc,20/06/2009,M,M,3306172053,1CFM_AC,D
12132171,901bc7c2b272a49d23e09133e1ba79c09c0e0307658b5e3ed9087ebce917aca2,15/09/2006,H,M,3306172403,1CFS_GIAT,D
12433428,8be84c0f789dd175f88ce2c6f221aa819e5b3fa5a5f2778f54e656cd34a9fe9c,08/12/1995,H,M,3306169635,2CFS_DAMS,S
12433428,8be84c0f789dd175f88ce2c6f221aa819e5b3fa5a5f2778f54e656cd34a9fe9c,08/12/1995,H,B,3306169651, ,S
10197921,dd0c93a0fd5818386e359be46c48ee7c016c3a9a0b1b41b6785689391533a871,29/10/1996,M,M,3306172167,1CFS_MPS,S
10214849,e714ddee6742f50a57a6a10119ff3994ba9259151d19056eb60f39a50d8e0bfb,25/09/2000,M,M,3306172167,1CFS_MPS,S
10025712,802025cd16ad73dbed22c6abeb63a7a97248acd04fec75cfa61ba8b4a75148a4,31/03/2005,M,M,3306172403,1CFS_GIAT,D
11076600,62693734c5dcb8b572402443f677b3807b34e443bf2658eb852428325a89e8f6,12/10/1986,H,M,3315802123,1CES_CIBS,S
10754604,3b860febfe0832f2c32b39d292ad5ea7981e1a20928b13b67c059c3a8a0a2d31,24/10/2006,M,M,3306172165,2CFS_MP,D
10633944,33149328fde066a68a8ce05b28b61618d7f41224c421995eaff5c3d573634ab3,01/09/2005,M,M,3306173997,1CFM_GAS,S
11432717,5b196b6018c2cce220155556f782676efd49766251bef4847202880267139a42,19/06/2009,H,M,3306169593,1CFM_SMRS,S
11234453,26bce427c0b8f62e123652cadbc4205d4e600925b2bb0145492683741e9df845,08/08/1981,H,M,3315802123,1CES_CIBS,S
12730900,afc4cb74a8c5c75b991ea3b053fe939da71fc99224c2353a907332aeffb4f8b9,15/06/1995,M,M,3306172482,2CFS_GATS,S
13593115,588024b813bab809d175b53f0ae748ca020af3443f7452582d098dcfe145be11,31/10/2007,M,B,3306169433,1CFSG,D
10866566,8a10a7d1a3220ddfcd4566857ea068beda1d33ed22f0f83915415a08fb9abdf0,07/07/2006,M,M,3306170528,2CFM_CAEB,D
13502717,e0d9930a013b6de8bd7a1688fd9f959d9539b07e08c27739f39c7ebfb98eca1d,15/01/1997,H,M,3306172167,1CFS_MPS,S
11622314,ba43db272c96525d1d09158beb41df41acab42c9c35a00e6150dd2d5a14efb32,11/12/2007,H,M,3306169591,2CFM_SMR,D
10865901,b1f176bdff21da0791ce689df6a0196f252e89877b4f0ccf67673ffc59684adb,20/09/1987,M,M,3306169635,2CFS_DAMS,S
13269119,12ed79d1f3688d702f7d07921a55bf7968ddf11236937e0f66eff12cf53519f6,07/08/1987,M,M,3306170521,1CFM_CAES,S
