codigo,nombre_cas,curso
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3162076035
0180,Segunda lengua extranjera,3162076035
0181,Proyecto de gestión de alojamientos turísticos,3162076035
0184,Formación en Centros de Trabajo,3162076035
0183,Empresa e iniciativa emprendedora ,3162076035
0176,Recepción y reservas,3162076035
0178,Comercialización de eventos,3162076035
0175,Gestión del departamento de pisos,3162076035
TU01CF,Tutoría Primero,3162076091
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3162076091
0179,Inglés profesional GS,3162076091
0401,Formación y Orientación Laboral,3162076091
0171,Estructura del mercado turístico,3162076091
0383,Destinos turísticos ,3162076091
0384,Recursos turísticos ,3162076091
0172,Protocolo y relaciones públicas,3162076091
0173,Marketing turístico,3162076091
TU02CF,Tutoría Segundo,3162076098
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3162076098
0398,Venta de servicios turísticos,3162076098
0180,Segunda lengua extranjera,3162076098
0403,Formación en Centros de Trabajo,3162076098
0400,Proyecto de Agencias de viajes ,3162076098
0402,Empresa e iniciativa emprendedora,3162076098
0399,Dirección de entidades de intermedi,3162076098
0397,Gestión de productos turísticos,3162076098
TU01CF,Tutoría Primero,3162076112
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3162076112
0179,Inglés profesional GS,3162076112
0171,Estructura del mercado turístico,3162076112
0383,Destinos turísticos ,3162076112
0384,Recursos turísticos ,3162076112
0172,Protocolo y relaciones públicas,3162076112
0173,Marketing turístico,3162076112
0389,Formación y orientación laboral ,3162076112
TU02CF,Tutoría Segundo,3162076119
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3162076119
0180,Segunda lengua extranjera,3162076119
0385,Servicios de información turística,3162076119
0388,"Proyecto de guía, información",3162076119
0390,Empresa e iniciativa emprendedora,3162076119
0391,Formación en Centros de Trabajo,3162076119
0387,Diseño de productos turísticos,3162076119
0386,Procesos de guía y asistencia ,3162076119
1709,Itinerario personal para la empleabilidad I,3228190451
0492p,Proyecto intermodular 1 de Desarrollo de aplicaciones multiplataforma,3228190451
TU01CF,Tutoría Primero,3228190451
0179,Inglés profesional GS,3228190451
0373,Lenguajes de marcas y sistemas de gestión de información,3228190451
0487,Entornos de desarrollo,3228190451
0485,Programación,3228190451
0484,Bases de Datos,3228190451
0483,Sistemas informáticos,3228190451
1709,Itinerario personal para la empleabilidad I,3228390016
TU01CF,Tutoría Primero,3228390016
0225,Redes locales,3228390016
0223,Aplicaciones ofimáticas,3228390016
0221,Montaje y mantenimiento de equipos,3228390016
0222,Sistemas operativos monopuesto,3228390016
0156,Inglés profesional GM,3228390016
1709,Itinerario personal para la empleabilidad I,3228410748
0181p,Proyecto intermodular 1 de Gestión de alojamientos turísticos,3228410748
TU01CF,Tutoría Primero,3228410748
0179,Inglés profesional GS,3228410748
0171,Estructura del mercado turístico,3228410748
0172,Protocolo y relaciones públicas,3228410748
0173,Marketing turístico,3228410748
0174,Dirección de alojamientos turístico,3228410748
0177,Recursos humanos en el alojamiento,3228410748
1709,Itinerario personal para la empleabilidad I,3228415772
1375p,Proyecto intermodular 1 de Laboratorio clínico y biomédico,3228415772
TU01CF,Tutoría Primero,3228415772
0179,Inglés profesional GS,3228415772
1370,Fisiopatología general,3228415772
1367,Gestión de muestras biológicas,3228415772
1368,Técnicas generales de laboratorio,3228415772
1369,Biología molecular y citogenética,3228415772
TU01CF,Tutoría Primero,3162079706
CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3162079706
0437,Comunicación empresarial y atención al cliente,3162079706
0449,Formación y orientación laboral,3162079706
0441,Técnica contable,3162079706
0439,Empresa y administración,3162079706
0438,Operaciones administrativa de compra-venta,3162079706
0440,Tratamiento informático de la información ,3162079706
0156,Inglés profesional GM,3162079706
TU02CF,Tutoría Segundo,3162079713
CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3162079713
0446,Empresa en el aula,3162079713
0443,Tratamiento de la documentación contable,3162079713
0442,Operaciones administrativas de recursos humanos,3162079713
0451,Formación en centros de trabajo,3162079713
0448,Operaciones auxiliares de gestión de tesorería,3162079713
