anyo,nombre_modulo,codigo_modulo,codigo_curso,nombre_curso,ciclo,grado,familia
2025_26,Contabilidad y fiscalidad,0654,3306174099,Segundo,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Tutoría Primero,TU01CF,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Inglés profesional GS,0179,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Comunicación y atención al cliente,0651,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Formación y orientación laboral,0658,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Proceso integral de la actividad comercial,0650,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Recursos humanos y responsabilidad social corporativa,0648,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Ofimática y proceso de la información,0649,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Gestión de la documentación jurídica y empresarial,0647,3306174106,Primero,ADMINISTRACIÓN Y FINANZAS (LOE),GRADO SUPERIOR,ADMINISTRACIÓN Y GESTIÓN
2025_26,Tutoría Primero,TU01CF,3306170521,Primero,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Técnicas básicas de enfermería,028502,3306170521,Primero,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Promoción de la salud y apoyo psicológico al paciente,028504,3306170521,Primero,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Técnicas de ayuda odontológica/estomatológica,028505,3306170521,Primero,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Formación y orientación laboral,028001,3306170521,Primero,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Higiene del medio hospitalario y limpieza de material,028503,3306170521,Primero,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Operaciones administrativas y documentación sanitaria,028501,3306170521,Primero,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Relaciones en el equipo de trabajo,028100,3306170521,Primero,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Tutoría Segundo,TU02CF,3306170528,Segundo,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Formación en Centros de Trabajo,028601,3306170528,Segundo,CUIDADOS AUXILIARES DE ENFERMERÍA,GRADO MEDIO,SANIDAD
2025_26,Estrategia de contenidos digitales,5123,3306171967,Primero CE,REDACCIÓN DE CONTENIDOS DIGITALES PARA MARKETING Y VENTAS (LFP),CURSO ESPECIALIZACIÓN,COMERCIO Y MARKETING
2025_26,Comunicación en redes sociales,5114,3306171967,Primero CE,REDACCIÓN DE CONTENIDOS DIGITALES PARA MARKETING Y VENTAS (LFP),CURSO ESPECIALIZACIÓN,COMERCIO Y MARKETING
2025_26,Redacción de contenidos digitales,5124,3306171967,Primero CE,REDACCIÓN DE CONTENIDOS DIGITALES PARA MARKETING Y VENTAS (LFP),CURSO ESPECIALIZACIÓN,COMERCIO Y MARKETING
2025_26,Sostenibilidad aplicada al sistema productivo,1708039,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Módulo optativo,CVOPT,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Proyecto intermodular 2 de Agencias de viajes,0400s,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Digitalización aplicada al sistema productivo GS,1665039,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Tutoría Segundo,TU02CF,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Venta de servicios turísticos,0398,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Segunda lengua extranjera,0180,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Dirección de entidades de intermedi,0399,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Gestión de productos turísticos,0397,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Itinerario personal para la empleabilidad II,1710,3306172330,Segundo,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Itinerario personal para la empleabilidad I,1709,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Proyecto intermodular 1 de Agencias de viajes,0400p,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Tutoría Primero,TU01CF,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Inglés profesional GS,0179,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Estructura del mercado turístico,0171,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Destinos turísticos,0383,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Recursos turísticos,0384,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Protocolo y relaciones públicas,0172,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Marketing turístico,0173,3306172332,Primero,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Digitalización aplicada al sistema productivo GS,1665061,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Sostenibilidad aplicada al sistema productivo,1708061,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Módulo optativo,CVOPT,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Proyecto intermodular 2 de Laboratorio clínico y biomédico,1375s,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Tutoría Segundo,TU02CF,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Análisis bioquímico,1371,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Técnicas de inmunodiagnóstico,1372,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Microbiología clínica,1373,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Técnicas de análisis hematológico,1374,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Itinerario personal para la empleabilidad II,1710,3306170617,Segundo,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Itinerario personal para la empleabilidad I,1709,3306170619,Primero,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Proyecto intermodular 1 de Laboratorio clínico y biomédico,1375p,3306170619,Primero,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Tutoría Primero,TU01CF,3306170619,Primero,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Inglés profesional GS,0179,3306170619,Primero,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Fisiopatología general,1370,3306170619,Primero,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Gestión de muestras biológicas,1367,3306170619,Primero,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Técnicas generales de laboratorio,1368,3306170619,Primero,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Biología molecular y citogenética,1369,3306170619,Primero,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),GRADO SUPERIOR,SANIDAD
2025_26,Itinerario personal para la empleabilidad I,1709,3306172053,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Tutoría Primero,TU01CF,3306172053,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Inglés profesional GM,0156,3306172053,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Marketing en la actividad comercial,1226,3306172053,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Gestión de compras,1229,3306172053,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Dinamización del punto de venta,1231,3306172053,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Procesos de venta,1232,3306172053,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Aplicaciones informáticas para el comercio,1233,3306172053,Primero,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Proyecto Intermodular Actividades comerciales,1713925,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Módulo optativo,CVOPT,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Digitalización aplicada al sistema productivo GM,1664020,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Sostenibilidad aplicada al sistema productivo,1708020,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Tutoría Segundo,TU02CF,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Gestión de un pequeño comercio,1227,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Técnicas de almacén,1228,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Venta técnica,1230,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Servicios de atención comercial,1234,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
