anyo,alumno,curso,contenido,evaluacion,nota_numerica
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0230,FI,7
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,0231,FI,0
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,CV0002,1,3
2024_25,02607fbb0097c3b56ef95af4de80a6dd8bb2345589ccb86e7398640efc1ad6ba,3162079936,CV0002,FI,6
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,0652,1,3
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,0652,FI,3
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,0653,1,0
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,0654,1,0
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,0655,1,3
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,0655,FI,4
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,0656,1,9
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,0656,FI,8
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,CV0004,1,5
2024_25,02b5357db254c70b9853949db0de64c0aba50d9863a113140767da574c2097f7,3162079790,CV0004,FI,5
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1007,1,9
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1007,FI,10
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1008,1,6
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1008,FI,8
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1009,1,8
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1009,FI,7
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1011,1,9
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1011,FI,10
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1013,FI,0
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1109,1,9
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1109,FI,9
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1110,1,9
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,1110,FI,9
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,CV0004,1,8
