anyo,nombre_cas,codigo,curso
2025,Trabajo de campo en la investigación comercial,1011,3306172247
2025,Lanzamiento de productos y servicios,1109,3306172247
2025,"Atención al cliente, consumidor y usuario",1110,3306172247
2025,Proyecto de marketing y publicidad,1012,3306172247
2025,Formación en centros de trabajo,1013,3306172247
2025,Tutoría Primero,TU01CF,3306172440
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306172440
2025,Inglés profesional GS,0179,3306172440
2025,Formación y Orientación Laboral,0401,3306172440
2025,Estructura del mercado turístico,0171,3306172440
2025,Destinos turísticos ,0383,3306172440
2025,Recursos turísticos ,0384,3306172440
2025,Protocolo y relaciones públicas,0172,3306172440
2025,Marketing turístico,0173,3306172440
2025,Tutoría Segundo,TU02CF,3306172447
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306172447
2025,Venta de servicios turísticos,0398,3306172447
2025,Segunda lengua extranjera,0180,3306172447
2025,Formación en Centros de Trabajo,0403,3306172447
2025,Proyecto de Agencias de viajes,0400,3306172447
2025,Empresa e iniciativa emprendedora,0402,3306172447
2025,Dirección de entidades de intermedi,0399,3306172447
2025,Gestión de productos turísticos,0397,3306172447
2025,Tutoría Primero,TU01CF,3306172461
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306172461
2025,Inglés profesional GS,0179,3306172461
2025,Estructura del mercado turístico,0171,3306172461
2025,Destinos turísticos ,0383,3306172461
2025,Recursos turísticos ,0384,3306172461
2025,Protocolo y relaciones públicas,0172,3306172461
2025,Marketing turístico,0173,3306172461
2025,Formación y orientación laboral ,0389,3306172461
2025,Tutoría Segundo,TU02CF,3306172468
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306172468
2025,Segunda lengua extranjera,0180,3306172468
2025,Servicios de información turística,0385,3306172468
2025,"Proyecto de Guía, información y asistencia turísticas",0388,3306172468
2025,Empresa e iniciativa emprendedora,0390,3306172468
2025,Formación en Centros de Trabajo,0391,3306172468
2025,Diseño de productos turísticos,0387,3306172468
2025,Procesos de guía y asistencia ,0386,3306172468
2025,Sostenibilidad aplicada al sistema productivo,1708039,3306172482
2025,Módulo optativo,CVOPT,3306172482
2025,Proyecto intermodular 2 de Gestión de alojamientos turísticos,0181s,3306172482
2025,Digitalización aplicada al sistema productivo GS,1665039,3306172482
2025,Tutoría Segundo,TU02CF,3306172482
2025,Segunda lengua extranjera,0180,3306172482
2025,Recepción y reservas,0176,3306172482
2025,Comercialización de eventos,0178,3306172482
2025,Gestión del departamento de pisos,0175,3306172482
2025,Itinerario personal para la empleabilidad II,1710,3306172482
2025,Itinerario personal para la empleabilidad I,1709,3306172484
