anyo,codigo,nombre_cas,curso
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003826548
2023_24,0180,Segunda lengua extranjera,3003826548
2023_24,0181,Proyecto de gestión de alojamientos turísticos,3003826548
2023_24,0184,Formación en Centros de Trabajo,3003826548
2023_24,0183,Empresa e iniciativa emprendedora,3003826548
2023_24,0176,Recepción y reservas,3003826548
2023_24,0178,Comercialización de eventos,3003826548
2023_24,0175,Gestión del departamento de pisos,3003826548
2023_24,TU01CF,Tutoría Primero,3003826604
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003826604
2023_24,0179,Inglés,3003826604
2023_24,0401,Formación y Orientación Laboral,3003826604
2023_24,0171,Estructura del mercado turístico,3003826604
2023_24,0383,Destinos turísticos,3003826604
2023_24,0384,Recursos turísticos,3003826604
2023_24,0172,Protocolo y relaciones públicas,3003826604
2023_24,0173,Marketing turístico,3003826604
2023_24,TU02CF,Tutoría Segundo,3003826611
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003826611
2023_24,0398,Venta de servicios turísticos,3003826611
2023_24,0180,Segunda lengua extranjera,3003826611
2023_24,0403,Formación en Centros de Trabajo,3003826611
2023_24,0400,Proyecto de Agencias de viajes,3003826611
2023_24,0402,Empresa e iniciativa emprendedora,3003826611
2023_24,0399,Dirección de entidades de intermedi,3003826611
2023_24,0397,Gestión de productos turísticos,3003826611
2023_24,TU01CF,Tutoría Primero,3003826625
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003826625
2023_24,0179,Inglés,3003826625
2023_24,0171,Estructura del mercado turístico,3003826625
2023_24,0383,Destinos turísticos,3003826625
2023_24,0384,Recursos turísticos,3003826625
2023_24,0172,Protocolo y relaciones públicas,3003826625
2023_24,0173,Marketing turístico,3003826625
2023_24,0389,Formación y orientación laboral,3003826625
2023_24,TU02CF,Tutoría Segundo,3003826632
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003826632
2023_24,0180,Segunda lengua extranjera,3003826632
2023_24,0385,Servicios de información turística,3003826632
2023_24,0388,"Proyecto de guía, información",3003826632
2023_24,0390,Empresa e iniciativa emprendedora,3003826632
2023_24,0391,Formación en Centros de Trabajo,3003826632
2023_24,0387,Diseño de productos turísticos,3003826632
2023_24,0386,Procesos de guía y asistencia,3003826632
2023_24,TU01CF,Tutoría Primero,3003822337
2023_24,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3003822337
2023_24,0156,Inglés,3003822337
2023_24,1226,Marketing en la actividad comercial,3003822337
2023_24,1229,Gestión de compras,3003822337
2023_24,1231,Dinamización del punto de venta,3003822337
2023_24,1232,Procesos de venta,3003822337
2023_24,1233,Aplicaciones informáticas para el comercio,3003822337
2023_24,1236,Formación y orientación laboral,3003822337
2023_24,TU02CF,Tutoría Segundo,3003822344
2023_24,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3003822344
2023_24,1227,Gestión de un pequeño comercio,3003822344
2023_24,1228,Técnicas de almacén,3003822344
2023_24,1230,Venta técnica,3003822344
2023_24,1234,Servicios de atención comercial,3003822344
2023_24,1235,Comercio electrónico,3003822344
2023_24,1237,Formación en centros de trabajo,3003822344
2023_24,TU02CF,Tutoría Segundo,3003822407
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003822407
2023_24,0825,Financiación internacional,3003822407
2023_24,0823,Marketing internacional,3003822407
2023_24,0827,Comercio digital internacional,3003822407
2023_24,0822,Sistema de información de mercados,3003822407
2023_24,0824,Negociación internacional,3003822407
2023_24,0830,Formación en Centros de Trabajo,3003822407
2023_24,0826,Medios de pago internacionales,3003822407
2023_24,0828,Proyecto de comercio internacional,3003822407
2023_24,CV0010,Empresas simuladas. Herramientas informáticas de la Comunidad Portuaria,3003822407
2023_24,TU01CF,Tutoría Primero,3003822414
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003822414
2023_24,0179,Inglés,3003822414
2023_24,0622,Transporte internacional de mercancías,3003822414
2023_24,0829,Formación y orientación laboral.,3003822414
2023_24,0625,Logística de almacenamiento,3003822414
2023_24,0623,Gestión económica y financiera de la empresa,3003822414
2023_24,0627,Gestión administrativa del comercio internacional,3003822414
2023_24,CV0008,Ofimática y proceso de la información en el comercio internacional,3003822414
2023_24,CV0009,Gestión portuaria,3003822414
2023_24,TU01CF,Tutoría Primero,3003822449
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003822449
2023_24,0179,Inglés,3003822449
2023_24,0623,Gestión económica y financiera de la empresa,3003822449
2023_24,0930,Políticas de marketing,3003822449
2023_24,0931,Marketing digital,3003822449
2023_24,1010,Investigación comercial,3003822449
2023_24,1014,Formación y orientación laboral,3003822449
2023_24,TU02CF,Tutoría Segundo,3003822456
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003822456
2023_24,1007,Diseño y elaboración de material de comunicación,3003822456
2023_24,1008,Medios y soportes de comunicación,3003822456
2023_24,1009,Relaciones públicas y organización de eventos de marketing,3003822456
2023_24,1011,Trabajo de campo en la investigación comercial,3003822456
2023_24,1109,Lanzamiento de productos y servicios,3003822456
2023_24,1110,"Atención al cliente, consumidor y usuario",3003822456
2023_24,1012,Proyecto de marketing y publicidad,3003822456
2023_24,1013,Formación en centros de trabajo,3003822456
2023_24,5021,Incidentes de ciberseguridad,3003828691
2023_24,5022,Bastionado de redes y sistemas,3003828691
2023_24,5023,Puesta en producción segura,3003828691
2023_24,5024,Análisis forense informático,3003828691
2023_24,5025,Hacking ético,3003828691
2023_24,5026,Normativa de ciberseguridad,3003828691
2023_24,5071,Modelos de Inteligencia Artificial,3003828705
2023_24,5072,Sistemas de aprendizaje automático,3003828705
2023_24,5073,Programación de Inteligencia Artificial,3003828705
2023_24,5074,Sistemas de Big Data,3003828705
2023_24,5075,Big Data aplicado,3003828705
2023_24,TU01CF,Tutoría Primero,3003827233
2023_24,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3003827233
2023_24,0437,Comunicación empresarial y atención al cliente,3003827233
2023_24,0449,Formación y orientación laboral,3003827233
2023_24,0441,Técnica contable,3003827233
2023_24,0439,Empresa y administración,3003827233
2023_24,0438,Operaciones administrativa de compra-venta,3003827233
2023_24,0440,Tratamiento informático de la información,3003827233
2023_24,0156,Inglés,3003827233
2023_24,TU02CF,Tutoría Segundo,3003827240
2023_24,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3003827240
2023_24,0446,Empresa en el aula,3003827240
2023_24,0443,Tratamiento de la documentación contable,3003827240
2023_24,0442,Operaciones administrativas de recursos humanos,3003827240
2023_24,0451,Formación en centros de trabajo,3003827240
2023_24,0448,Operaciones auxiliares de gestión de tesorería,3003827240
2023_24,TU01CF,Tutoría Primero,3003828760
2023_24,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3003828760
2023_24,0225,Redes locales,3003828760
2023_24,0223,Aplicaciones ofimáticas,3003828760
2023_24,0221,Montaje y mantenimiento de equipos,3003828760
2023_24,0229,Formación y orientación laboral,3003828760
2023_24,0222,Sistemas operativos monopuesto,3003828760
2023_24,TU02CF,Tutoría Segundo,3003828767
2023_24,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3003828767
2023_24,0230,Empresa e iniciativa emprendedora,3003828767
2023_24,0228,Aplicaciones web,3003828767
2023_24,0226,Seguridad informática,3003828767
2023_24,0224,Sistemas operativos en red,3003828767
2023_24,0231,Formación en Centros de Trabajo,3003828767
2023_24,0227,Servicios en red,3003828767
2023_24,TU02CF,Tutoría Segundo,3003828788
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003828788
2023_24,0619,Formación en centros de trabajo,3003828788
2023_24,0616,Proyecto de desarrollo de aplicaciones WEB,3003828788
2023_24,0618,Empresa e iniciativa emprendedora,3003828788
2023_24,0615,Diseño de interfaces WEB,3003828788
2023_24,0614,Despliegue de aplicaciones WEB,3003828788
2023_24,0613,Desarrollo WEB en entorno servidor,3003828788
2023_24,0612,Desarrollo WEB en entorno cliente,3003828788
2023_24,TU01CF,Tutoría Primero,3003828795
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003828795
2023_24,0373,Lenguajes de marcas y sistemas de gestión de información,3003828795
2023_24,0487,Entornos de desarrollo,3003828795
2023_24,0485,Programación,3003828795
2023_24,0484,Bases de Datos,3003828795
2023_24,0483,Sistemas informáticos,3003828795
2023_24,0617,Formación y orientación laboral,3003828795
2023_24,TU01CF,Tutoría Primero,3003822872
2023_24,243265,Diseño y Fabr. Monturas Ópticas,3003822872
2023_24,243267,"Anat., Fisiopatol. y Ametropias Oculares",3003822872
2023_24,243266,At. Cliente Establ. Prod. Ópticos,3003822872
2023_24,243264,Proc. Fabr. Lentes Oftalmológicas,3003822872
2023_24,TU02CF,Tutoría Segundo,3003827317
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003827317
2023_24,0655,Gestión logística y comercial,3003827317
2023_24,0657,Proyecto de Administración y Finanzas,3003827317
2023_24,0652,Gestión de recursos humanos,3003827317
2023_24,0653,Gestión financiera,3003827317
2023_24,0656,Simulación empresarial,3003827317
2023_24,0660,Formación en Centros de Trabajo,3003827317
2023_24,0654,Contabilidad y fiscalidad,3003827317
2023_24,TU01CF,Tutoría Primero,3003827324
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003827324
2023_24,0179,Inglés,3003827324
2023_24,0651,Comunicación y atención al cliente,3003827324
2023_24,0658,Formación y orientación laboral,3003827324
2023_24,0650,Proceso integral de la actividad comercial,3003827324
2023_24,0648,Recursos humanos y responsabilidad social corporativa,3003827324
2023_24,0649,Ofimática y proceso de la información,3003827324
2023_24,0647,Gestión de la documentación jurídica y empresarial,3003827324
2023_24,TU01CF,Tutoría Primero,3003828816
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003828816
2023_24,0373,Lenguajes de marcas y sistemas de gestión de información,3003828816
2023_24,0487,Entornos de desarrollo,3003828816
2023_24,0485,Programación,3003828816
2023_24,0484,Bases de Datos,3003828816
2023_24,0483,Sistemas informáticos,3003828816
2023_24,0493,Formación y orientación laboral,3003828816
2023_24,TU02CF,Tutoría Segundo,3003828823
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003828823
2023_24,0495,Formación en centros de trabajo,3003828823
2023_24,0492,Proyecto de desarrollo de aplicaciones multiplataforma,3003828823
2023_24,0494,Empresa e iniciativa emprendedora,3003828823
2023_24,0491,Sistemas de gestión empresarial,3003828823
2023_24,0490,Programación de servicios y procesos,3003828823
2023_24,0489,Programación multimedia y dispositivos móviles,3003828823
2023_24,0488,Desarrollo de interfaces,3003828823
2023_24,0486,Acceso a datos,3003828823
2023_24,TU02CF,Tutoría Segundo,3003822879
2023_24,243602,Formación y Orientación Laboral,3003822879
2023_24,243601,Formación en Centros de Trabajo,3003822879
2023_24,243604,"Adm., Gest. y Comer. Peq. Empresa",3003822879
2023_24,243271,Montajes y Reparaciones Ópticas,3003822879
2023_24,243270,Proc. Fabr. Lentes de Contacto,3003822879
2023_24,TU01CF,Tutoría Primero,3003828893
2023_24,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003828893
2023_24,0370,Planificación y Administración de Redes,3003828893
2023_24,0373,Lenguajes de marcas y sistemas de gestión de información,3003828893
2023_24,0371,Fundamentos de Hardware,3003828893
2023_24,0372,Gestión de Bases de Datos,3003828893
2023_24,0380,Formación y orientación laboral,3003828893
2023_24,0369,Implantación de Sistemas Operativos,3003828893
2023_24,TU02CF,Tutoría Segundo,3003828900
2023_24,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003828900
2023_24,0381,Empresa e Iniciativa emprendedora,3003828900
2023_24,0379,Proyecto de Administración de Sistemas Informáticos en Red,3003828900
2023_24,0378,Seguridad y Alta Disponibilidad,3003828900
2023_24,0375,Servicios de Red e Internet,3003828900
2023_24,0382,Formación en Centros de Trabajo,3003828900
2023_24,0377,Administración de Sistemas Gestores de Bases de Datos,3003828900
2023_24,0376,Implantación de Aplicaciones Web,3003828900
2023_24,0374,Administración de Sistemas Operativos,3003828900
