codigo,nombre_cas,curso
0373,Lenguajes de marcas y sistemas de gestión de información,3306169695
0487,Entornos de desarrollo,3306169695
0485,Programación,3306169695
0484,Bases de Datos,3306169695
0483,Sistemas informáticos,3306169695
0493,Formación y orientación laboral,3306169695
TU02CF,Tutoría Segundo,3306169702
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306169702
0495,Formación en centros de trabajo,3306169702
0492,Proyecto de Desarrollo de aplicaciones multiplataforma,3306169702
0494,Empresa e iniciativa emprendedora,3306169702
0491,Sistemas de gestión empresarial,3306169702
0490,Programación de servicios y procesos,3306169702
0489,Programación multimedia y dispositivos móviles,3306169702
0488,Desarrollo de interfaces,3306169702
0486,Acceso a datos,3306169702
TU01CF,Tutoría Primero,3306169723
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306169723
0370,Planificación y Administración de Redes,3306169723
0373,Lenguajes de marcas y sistemas de gestión de información,3306169723
0371,Fundamentos de Hardware,3306169723
0372,Gestión de Bases de Datos,3306169723
0380,Formación y orientación laboral,3306169723
0369,Implantación de Sistemas Operativos,3306169723
TU02CF,Tutoría Segundo,3306169730
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306169730
0381,Empresa e Iniciativa emprendedora,3306169730
0379,Proyecto de Administración de Sistemas Informáticos en Red,3306169730
0378,Seguridad y Alta Disponibilidad,3306169730
0375,Servicios de Red e Internet,3306169730
0382,Formación en Centros de Trabajo,3306169730
0377,Administración de Sistemas Gestores de Bases de Datos,3306169730
0376,Implantación de Aplicaciones Web,3306169730
0374,Administración de Sistemas Operativos,3306169730
1709,Itinerario personal para la empleabilidad I,3306169744
0379p,Proyecto intermodular 1 de Administración de Sistemas Informáticos en Red,3306169744
TU01CF,Tutoría Primero,3306169744
0179,Inglés profesional GS,3306169744
0370,Planificación y Administración de Redes,3306169744
0373,Lenguajes de marcas y sistemas de gestión de información,3306169744
0371,Fundamentos de Hardware,3306169744
0372,Gestión de Bases de Datos,3306169744
